"","V1","V2","V3","V4","V5","V6"
"2567","type=strongsubj","len=1","word1=evidently","pos1=anypos","stemmed1=y","priorpolarity=positive"
"2568","type=strongsubj","len=1","word1=evil","pos1=adj","stemmed1=n","priorpolarity=negative"
"2569","type=strongsubj","len=1","word1=evil","pos1=noun","stemmed1=n","priorpolarity=negative"
"2570","type=strongsubj","len=1","word1=evildoer","pos1=noun","stemmed1=n","priorpolarity=negative"
"2571","type=strongsubj","len=1","word1=evils","pos1=adj","stemmed1=n","priorpolarity=negative"
"2572","type=strongsubj","len=1","word1=evils","pos1=noun","stemmed1=n","priorpolarity=negative"
"2573","type=strongsubj","len=1","word1=eviscerate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2574","type=strongsubj","len=1","word1=evocative","pos1=adj","stemmed1=n","priorpolarity=positive"
"2575","type=strongsubj","len=1","word1=exacerbate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2576","type=strongsubj","len=1","word1=exact","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2577","type=weaksubj","len=1","word1=exacting","pos1=adj","stemmed1=n","priorpolarity=negative"
"2578","type=strongsubj","len=1","word1=exactly","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"2579","type=strongsubj","len=1","word1=exaggerate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2580","type=strongsubj","len=1","word1=exaggeration","pos1=adj","stemmed1=n","priorpolarity=negative"
"2581","type=strongsubj","len=1","word1=exaggeration","pos1=noun","stemmed1=n","priorpolarity=negative"
"2582","type=strongsubj","len=1","word1=exalt","pos1=adj","stemmed1=n","priorpolarity=positive"
"2583","type=strongsubj","len=1","word1=exalt","pos1=verb","stemmed1=y","priorpolarity=positive"
"2584","type=strongsubj","len=1","word1=exaltation","pos1=noun","stemmed1=n","priorpolarity=positive"
"2585","type=strongsubj","len=1","word1=exalted","pos1=adj","stemmed1=n","priorpolarity=positive"
"2586","type=strongsubj","len=1","word1=exaltedly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2587","type=strongsubj","len=1","word1=exalting","pos1=adj","stemmed1=n","priorpolarity=positive"
"2588","type=strongsubj","len=1","word1=exaltingly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2589","type=strongsubj","len=1","word1=exasperate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2590","type=strongsubj","len=1","word1=exasperation","pos1=noun","stemmed1=n","priorpolarity=negative"
"2591","type=strongsubj","len=1","word1=exasperating","pos1=adj","stemmed1=n","priorpolarity=negative"
"2592","type=strongsubj","len=1","word1=exasperatingly","pos1=anypos","stemmed1=y","priorpolarity=negative"
"2593","type=strongsubj","len=1","word1=exceed","pos1=verb","stemmed1=y","priorpolarity=positive"
"2594","type=strongsubj","len=1","word1=exceeding","pos1=adj","stemmed1=n","priorpolarity=positive"
"2595","type=strongsubj","len=1","word1=exceedingly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2596","type=strongsubj","len=1","word1=excel","pos1=verb","stemmed1=y","priorpolarity=positive"
"2597","type=strongsubj","len=1","word1=excellence","pos1=noun","stemmed1=n","priorpolarity=positive"
"2598","type=strongsubj","len=1","word1=excellency","pos1=noun","stemmed1=n","priorpolarity=positive"
"2599","type=strongsubj","len=1","word1=excellent","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2600","type=strongsubj","len=1","word1=excellently","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2601","type=strongsubj","len=1","word1=exceptional","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2602","type=strongsubj","len=1","word1=exceptionally","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2603","type=strongsubj","len=1","word1=excessive","pos1=adj","stemmed1=n","priorpolarity=negative"
"2604","type=strongsubj","len=1","word1=excessively","pos1=adj","stemmed1=n","priorpolarity=negative"
"2605","type=weaksubj","len=1","word1=excite","pos1=verb","stemmed1=y","priorpolarity=positive"
"2606","type=strongsubj","len=1","word1=excited","pos1=adj","stemmed1=n","priorpolarity=positive"
"2607","type=strongsubj","len=1","word1=excitedly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2608","type=strongsubj","len=1","word1=excitedness","pos1=noun","stemmed1=n","priorpolarity=positive"
"2609","type=strongsubj","len=1","word1=excitement","pos1=noun","stemmed1=n","priorpolarity=positive"
"2610","type=strongsubj","len=1","word1=exciting","pos1=adj","stemmed1=n","priorpolarity=positive"
"2611","type=strongsubj","len=1","word1=excitingly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2612","type=strongsubj","len=1","word1=exclaim","pos1=verb","stemmed1=y","priorpolarity=negative"
"2613","type=weaksubj","len=1","word1=exclude","pos1=verb","stemmed1=y","priorpolarity=negative"
"2614","type=weaksubj","len=1","word1=exclusion","pos1=noun","stemmed1=n","priorpolarity=negative"
"2615","type=weaksubj","len=1","word1=exclusive","pos1=adj","stemmed1=n","priorpolarity=positive"
"2616","type=weaksubj","len=1","word1=exclusively","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2617","type=strongsubj","len=1","word1=excoriate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2618","type=strongsubj","len=1","word1=excruciating","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2619","type=strongsubj","len=1","word1=excruciatingly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2620","type=strongsubj","len=1","word1=excusable","pos1=adj","stemmed1=n","priorpolarity=positive"
"2621","type=strongsubj","len=1","word1=excusable","pos1=noun","stemmed1=n","priorpolarity=positive"
"2622","type=weaksubj","len=1","word1=excuse","pos1=adj","stemmed1=n","priorpolarity=negative"
"2623","type=weaksubj","len=1","word1=excuse","pos1=noun","stemmed1=n","priorpolarity=negative"
"2624","type=weaksubj","len=1","word1=excuse","pos1=verb","stemmed1=y","priorpolarity=positive"
"2625","type=weaksubj","len=1","word1=excuses","pos1=adj","stemmed1=n","priorpolarity=negative"
"2626","type=weaksubj","len=1","word1=excuses","pos1=noun","stemmed1=n","priorpolarity=negative"
"2627","type=strongsubj","len=1","word1=execrate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2628","type=strongsubj","len=1","word1=exemplar","pos1=noun","stemmed1=n","priorpolarity=positive"
"2629","type=strongsubj","len=1","word1=exemplary","pos1=adj","stemmed1=n","priorpolarity=positive"
"2630","type=weaksubj","len=1","word1=exhaust","pos1=verb","stemmed1=y","priorpolarity=negative"
"2631","type=weaksubj","len=1","word1=exhaustion","pos1=noun","stemmed1=n","priorpolarity=negative"
"2632","type=weaksubj","len=1","word1=exhaustive","pos1=adj","stemmed1=n","priorpolarity=positive"
"2633","type=weaksubj","len=1","word1=exhaustively","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2634","type=strongsubj","len=1","word1=exhilarate","pos1=verb","stemmed1=y","priorpolarity=positive"
"2635","type=strongsubj","len=1","word1=exhilarating","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2636","type=strongsubj","len=1","word1=exhilaratingly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2637","type=strongsubj","len=1","word1=exhilaration","pos1=noun","stemmed1=n","priorpolarity=positive"
"2638","type=strongsubj","len=1","word1=exhort","pos1=verb","stemmed1=y","priorpolarity=negative"
"2639","type=weaksubj","len=1","word1=exile","pos1=verb","stemmed1=y","priorpolarity=negative"
"2640","type=strongsubj","len=1","word1=exonerate","pos1=verb","stemmed1=y","priorpolarity=positive"
"2641","type=strongsubj","len=1","word1=exorbitant","pos1=adj","stemmed1=n","priorpolarity=negative"
"2642","type=strongsubj","len=1","word1=exorbitantance","pos1=noun","stemmed1=n","priorpolarity=negative"
"2643","type=strongsubj","len=1","word1=exorbitantly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2644","type=strongsubj","len=1","word1=expansive","pos1=adj","stemmed1=n","priorpolarity=positive"
"2645","type=weaksubj","len=1","word1=expectation","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2646","type=weaksubj","len=1","word1=expectation","pos1=noun","stemmed1=n","priorpolarity=neutral"
"2647","type=weaksubj","len=1","word1=expedient","pos1=adj","stemmed1=n","priorpolarity=negative"
"2648","type=weaksubj","len=1","word1=expediencies","pos1=adj","stemmed1=n","priorpolarity=negative"
"2649","type=weaksubj","len=1","word1=expediencies","pos1=noun","stemmed1=n","priorpolarity=negative"
"2650","type=weaksubj","len=1","word1=expel","pos1=verb","stemmed1=y","priorpolarity=negative"
"2651","type=weaksubj","len=1","word1=expensive","pos1=adj","stemmed1=n","priorpolarity=negative"
"2652","type=weaksubj","len=1","word1=expensive","pos1=noun","stemmed1=n","priorpolarity=negative"
"2653","type=weaksubj","len=1","word1=experienced","pos1=adj","stemmed1=n","priorpolarity=positive"
"2654","type=weaksubj","len=1","word1=expert","pos1=adj","stemmed1=n","priorpolarity=positive"
"2655","type=strongsubj","len=1","word1=expertly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2656","type=strongsubj","len=1","word1=expire","pos1=verb","stemmed1=y","priorpolarity=negative"
"2657","type=strongsubj","len=1","word1=explicit","pos1=adj","stemmed1=n","priorpolarity=positive"
"2658","type=strongsubj","len=1","word1=explicitly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2659","type=weaksubj","len=1","word1=explode","pos1=verb","stemmed1=y","priorpolarity=negative"
"2660","type=strongsubj","len=1","word1=exploit","pos1=verb","stemmed1=y","priorpolarity=negative"
"2661","type=strongsubj","len=1","word1=exploitation","pos1=adj","stemmed1=n","priorpolarity=negative"
"2662","type=strongsubj","len=1","word1=exploitation","pos1=noun","stemmed1=n","priorpolarity=negative"
"2663","type=weaksubj","len=1","word1=expose","pos1=verb","stemmed1=y","priorpolarity=negative"
"2664","type=weaksubj","len=1","word1=exposed","pos1=adj","stemmed1=n","priorpolarity=negative"
"2665","type=weaksubj","len=1","word1=explosive","pos1=adj","stemmed1=n","priorpolarity=negative"
"2666","type=weaksubj","len=1","word1=expound","pos1=verb","stemmed1=y","priorpolarity=neutral"
"2667","type=weaksubj","len=1","word1=expression","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2668","type=weaksubj","len=1","word1=expression","pos1=noun","stemmed1=n","priorpolarity=neutral"
"2669","type=weaksubj","len=1","word1=expressions","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2670","type=weaksubj","len=1","word1=expressions","pos1=noun","stemmed1=n","priorpolarity=neutral"
"2671","type=weaksubj","len=1","word1=expressive","pos1=adj","stemmed1=n","priorpolarity=positive"
"2672","type=weaksubj","len=1","word1=expropriate","pos1=adj","stemmed1=n","priorpolarity=negative"
"2673","type=weaksubj","len=1","word1=expropriate","pos1=noun","stemmed1=n","priorpolarity=negative"
"2674","type=weaksubj","len=1","word1=expropriation","pos1=adj","stemmed1=n","priorpolarity=negative"
"2675","type=weaksubj","len=1","word1=expropriation","pos1=noun","stemmed1=n","priorpolarity=negative"
"2676","type=weaksubj","len=1","word1=expulse","pos1=verb","stemmed1=y","priorpolarity=negative"
"2677","type=strongsubj","len=1","word1=expunge","pos1=verb","stemmed1=y","priorpolarity=negative"
"2678","type=strongsubj","len=1","word1=exquisite","pos1=adj","stemmed1=n","priorpolarity=positive"
"2679","type=strongsubj","len=1","word1=exquisitely","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2680","type=strongsubj","len=1","word1=extemporize","pos1=verb","stemmed1=y","priorpolarity=neutral"
"2681","type=weaksubj","len=1","word1=extensive","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2682","type=strongsubj","len=1","word1=extensively","pos1=anypos","stemmed1=y","priorpolarity=neutral"
"2683","type=strongsubj","len=1","word1=exterminate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2684","type=strongsubj","len=1","word1=extermination","pos1=noun","stemmed1=n","priorpolarity=negative"
"2685","type=weaksubj","len=1","word1=extinguish","pos1=verb","stemmed1=y","priorpolarity=negative"
"2686","type=strongsubj","len=1","word1=extol","pos1=verb","stemmed1=y","priorpolarity=positive"
"2687","type=strongsubj","len=1","word1=extoll","pos1=verb","stemmed1=y","priorpolarity=positive"
"2688","type=weaksubj","len=1","word1=extort","pos1=verb","stemmed1=y","priorpolarity=negative"
"2689","type=strongsubj","len=1","word1=extortion","pos1=noun","stemmed1=n","priorpolarity=negative"
"2690","type=weaksubj","len=1","word1=extraneous","pos1=adj","stemmed1=n","priorpolarity=negative"
"2691","type=strongsubj","len=1","word1=extraordinarily","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2692","type=strongsubj","len=1","word1=extraordinary","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2693","type=strongsubj","len=1","word1=extravagance","pos1=noun","stemmed1=n","priorpolarity=negative"
"2694","type=strongsubj","len=1","word1=extravagant","pos1=adj","stemmed1=n","priorpolarity=negative"
"2695","type=strongsubj","len=1","word1=extravagantly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2696","type=weaksubj","len=1","word1=extreme","pos1=adj","stemmed1=n","priorpolarity=negative"
"2697","type=strongsubj","len=1","word1=extreme","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2698","type=strongsubj","len=1","word1=extremely","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2699","type=weaksubj","len=1","word1=extremism","pos1=adj","stemmed1=n","priorpolarity=negative"
"2700","type=weaksubj","len=1","word1=extremism","pos1=noun","stemmed1=n","priorpolarity=negative"
"2701","type=weaksubj","len=1","word1=extremist","pos1=adj","stemmed1=n","priorpolarity=negative"
"2702","type=weaksubj","len=1","word1=extremists","pos1=adj","stemmed1=n","priorpolarity=negative"
"2703","type=weaksubj","len=1","word1=extremists","pos1=noun","stemmed1=n","priorpolarity=negative"
"2704","type=strongsubj","len=1","word1=exuberance","pos1=noun","stemmed1=n","priorpolarity=positive"
"2705","type=strongsubj","len=1","word1=exuberant","pos1=adj","stemmed1=n","priorpolarity=positive"
"2706","type=strongsubj","len=1","word1=exuberantly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2707","type=strongsubj","len=1","word1=exult","pos1=verb","stemmed1=y","priorpolarity=positive"
"2708","type=strongsubj","len=1","word1=exultation","pos1=noun","stemmed1=n","priorpolarity=positive"
"2709","type=strongsubj","len=1","word1=exultingly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2710","type=weaksubj","len=1","word1=eyebrows","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2711","type=weaksubj","len=1","word1=eyebrows","pos1=noun","stemmed1=n","priorpolarity=neutral"
"2712","type=weaksubj","len=1","word1=fabricate","pos1=verb","stemmed1=y","priorpolarity=negative"
"2713","type=strongsubj","len=1","word1=fabrication","pos1=noun","stemmed1=n","priorpolarity=negative"
"2714","type=strongsubj","len=1","word1=fabulous","pos1=adj","stemmed1=n","priorpolarity=positive"
"2715","type=strongsubj","len=1","word1=fabulously","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2716","type=strongsubj","len=1","word1=facetious","pos1=adj","stemmed1=n","priorpolarity=negative"
"2717","type=strongsubj","len=1","word1=facetiously","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2718","type=weaksubj","len=1","word1=facilitate","pos1=verb","stemmed1=y","priorpolarity=positive"
"2719","type=strongsubj","len=1","word1=fact","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"2720","type=strongsubj","len=1","word1=facts","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"2721","type=weaksubj","len=1","word1=factual","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"2722","type=weaksubj","len=1","word1=fading","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2723","type=weaksubj","len=1","word1=fail","pos1=verb","stemmed1=y","priorpolarity=negative"
"2724","type=strongsubj","len=1","word1=failing","pos1=noun","stemmed1=n","priorpolarity=negative"
"2725","type=weaksubj","len=1","word1=failure","pos1=adj","stemmed1=n","priorpolarity=negative"
"2726","type=weaksubj","len=1","word1=failure","pos1=noun","stemmed1=n","priorpolarity=negative"
"2727","type=weaksubj","len=1","word1=failures","pos1=adj","stemmed1=n","priorpolarity=negative"
"2728","type=weaksubj","len=1","word1=failures","pos1=noun","stemmed1=n","priorpolarity=negative"
"2729","type=weaksubj","len=1","word1=faint","pos1=adj","stemmed1=n","priorpolarity=negative"
"2730","type=strongsubj","len=1","word1=fainthearted","pos1=adj","stemmed1=n","priorpolarity=negative"
"2731","type=weaksubj","len=1","word1=fair","pos1=adj","stemmed1=n","priorpolarity=positive"
"2732","type=weaksubj","len=1","word1=fair","pos1=noun","stemmed1=n","priorpolarity=positive"
"2733","type=weaksubj","len=1","word1=fairly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2734","type=weaksubj","len=1","word1=fairness","pos1=adj","stemmed1=n","priorpolarity=positive"
"2735","type=weaksubj","len=1","word1=fairness","pos1=noun","stemmed1=n","priorpolarity=positive"
"2736","type=strongsubj","len=1","word1=faith","pos1=adj","stemmed1=n","priorpolarity=positive"
"2737","type=strongsubj","len=1","word1=faith","pos1=noun","stemmed1=n","priorpolarity=positive"
"2738","type=strongsubj","len=1","word1=faithful","pos1=adj","stemmed1=n","priorpolarity=positive"
"2739","type=strongsubj","len=1","word1=faithful","pos1=noun","stemmed1=n","priorpolarity=positive"
"2740","type=strongsubj","len=1","word1=faithfully","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2741","type=strongsubj","len=1","word1=faithfulness","pos1=noun","stemmed1=n","priorpolarity=positive"
"2742","type=strongsubj","len=1","word1=faithless","pos1=adj","stemmed1=n","priorpolarity=negative"
"2743","type=strongsubj","len=1","word1=fake","pos1=adj","stemmed1=n","priorpolarity=negative"
"2744","type=weaksubj","len=1","word1=fall","pos1=verb","stemmed1=y","priorpolarity=negative"
"2745","type=strongsubj","len=1","word1=fallacies","pos1=adj","stemmed1=n","priorpolarity=negative"
"2746","type=strongsubj","len=1","word1=fallacies","pos1=noun","stemmed1=n","priorpolarity=negative"
"2747","type=strongsubj","len=1","word1=fallacious","pos1=adj","stemmed1=n","priorpolarity=negative"
"2748","type=strongsubj","len=1","word1=fallaciously","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2749","type=strongsubj","len=1","word1=fallaciousness","pos1=noun","stemmed1=n","priorpolarity=negative"
"2750","type=strongsubj","len=1","word1=fallacy","pos1=noun","stemmed1=n","priorpolarity=negative"
"2751","type=strongsubj","len=1","word1=fallout","pos1=noun","stemmed1=n","priorpolarity=negative"
"2752","type=strongsubj","len=1","word1=false","pos1=adj","stemmed1=n","priorpolarity=negative"
"2753","type=strongsubj","len=1","word1=false","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2754","type=strongsubj","len=1","word1=falsehood","pos1=noun","stemmed1=n","priorpolarity=negative"
"2755","type=strongsubj","len=1","word1=falsely","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2756","type=strongsubj","len=1","word1=falsify","pos1=verb","stemmed1=y","priorpolarity=negative"
"2757","type=strongsubj","len=1","word1=falter","pos1=verb","stemmed1=y","priorpolarity=negative"
"2758","type=weaksubj","len=1","word1=famed","pos1=adj","stemmed1=n","priorpolarity=positive"
"2759","type=weaksubj","len=1","word1=familiar","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2760","type=weaksubj","len=1","word1=familiar","pos1=anypos","stemmed1=y","priorpolarity=neutral"
"2761","type=strongsubj","len=1","word1=fame","pos1=noun","stemmed1=n","priorpolarity=positive"
"2762","type=strongsubj","len=1","word1=famed","pos1=adj","stemmed1=n","priorpolarity=positive"
"2763","type=strongsubj","len=1","word1=famine","pos1=noun","stemmed1=n","priorpolarity=negative"
"2764","type=strongsubj","len=1","word1=famished","pos1=adj","stemmed1=n","priorpolarity=negative"
"2765","type=weaksubj","len=1","word1=famous","pos1=adj","stemmed1=n","priorpolarity=positive"
"2766","type=strongsubj","len=1","word1=famously","pos1=adj","stemmed1=n","priorpolarity=positive"
"2767","type=strongsubj","len=1","word1=fanatic","pos1=noun","stemmed1=n","priorpolarity=negative"
"2768","type=strongsubj","len=1","word1=fanatical","pos1=adj","stemmed1=n","priorpolarity=negative"
"2769","type=strongsubj","len=1","word1=fanatically","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2770","type=strongsubj","len=1","word1=fanaticism","pos1=noun","stemmed1=n","priorpolarity=negative"
"2771","type=strongsubj","len=1","word1=fanatics","pos1=noun","stemmed1=n","priorpolarity=negative"
"2772","type=strongsubj","len=1","word1=fanciful","pos1=adj","stemmed1=n","priorpolarity=negative"
"2773","type=strongsubj","len=1","word1=fancy","pos1=adj","stemmed1=n","priorpolarity=positive"
"2774","type=strongsubj","len=1","word1=fancy","pos1=verb","stemmed1=y","priorpolarity=positive"
"2775","type=strongsubj","len=1","word1=fanfare","pos1=adj","stemmed1=n","priorpolarity=positive"
"2776","type=strongsubj","len=1","word1=fanfare","pos1=noun","stemmed1=n","priorpolarity=positive"
"2777","type=strongsubj","len=1","word1=fantastic","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2778","type=strongsubj","len=1","word1=fantastically","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2779","type=strongsubj","len=1","word1=fantasy","pos1=adj","stemmed1=n","priorpolarity=positive"
"2780","type=strongsubj","len=1","word1=fantasy","pos1=noun","stemmed1=n","priorpolarity=positive"
"2781","type=strongsubj","len=1","word1=far-fetched","pos1=adj","stemmed1=n","priorpolarity=negative"
"2782","type=weaksubj","len=1","word1=far-reaching","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2783","type=strongsubj","len=1","word1=farfetched","pos1=adj","stemmed1=n","priorpolarity=negative"
"2784","type=strongsubj","len=1","word1=farce","pos1=noun","stemmed1=n","priorpolarity=negative"
"2785","type=strongsubj","len=1","word1=farcical","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2786","type=strongsubj","len=1","word1=farcical-yet-provocative","pos1=adj","stemmed1=n","priorpolarity=negative"
"2787","type=strongsubj","len=1","word1=farcically","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2788","type=weaksubj","len=1","word1=farsighted","pos1=adj","stemmed1=n","priorpolarity=positive"
"2789","type=strongsubj","len=1","word1=fascinate","pos1=verb","stemmed1=y","priorpolarity=positive"
"2790","type=strongsubj","len=1","word1=fascinating","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2791","type=strongsubj","len=1","word1=fascinatingly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2792","type=strongsubj","len=1","word1=fascination","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2793","type=strongsubj","len=1","word1=fascism","pos1=adj","stemmed1=n","priorpolarity=negative"
"2794","type=strongsubj","len=1","word1=fascism","pos1=noun","stemmed1=n","priorpolarity=negative"
"2795","type=strongsubj","len=1","word1=fascist","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2796","type=strongsubj","len=1","word1=fashionable","pos1=adj","stemmed1=n","priorpolarity=positive"
"2797","type=strongsubj","len=1","word1=fashionably","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2798","type=weaksubj","len=1","word1=fast","pos1=adj","stemmed1=n","priorpolarity=neutral"
"2799","type=weaksubj","len=1","word1=fast-growing","pos1=adj","stemmed1=n","priorpolarity=positive"
"2800","type=weaksubj","len=1","word1=fast-paced","pos1=adj","stemmed1=n","priorpolarity=positive"
"2801","type=weaksubj","len=1","word1=fastest-growing","pos1=adj","stemmed1=n","priorpolarity=positive"
"2802","type=strongsubj","len=1","word1=fastidious","pos1=adj","stemmed1=n","priorpolarity=negative"
"2803","type=strongsubj","len=1","word1=fastidiously","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2804","type=strongsubj","len=1","word1=fastuous","pos1=adj","stemmed1=n","priorpolarity=negative"
"2805","type=weaksubj","len=1","word1=fat","pos1=adj","stemmed1=n","priorpolarity=negative"
"2806","type=weaksubj","len=1","word1=fatal","pos1=adj","stemmed1=n","priorpolarity=negative"
"2807","type=strongsubj","len=1","word1=fatalistic","pos1=adj","stemmed1=n","priorpolarity=negative"
"2808","type=strongsubj","len=1","word1=fatalistically","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2809","type=weaksubj","len=1","word1=fatally","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2810","type=strongsubj","len=1","word1=fateful","pos1=adj","stemmed1=n","priorpolarity=negative"
"2811","type=strongsubj","len=1","word1=fatefully","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2812","type=weaksubj","len=1","word1=fathom","pos1=verb","stemmed1=y","priorpolarity=positive"
"2813","type=strongsubj","len=1","word1=fathomless","pos1=adj","stemmed1=n","priorpolarity=negative"
"2814","type=weaksubj","len=1","word1=fatigue","pos1=noun","stemmed1=n","priorpolarity=negative"
"2815","type=weaksubj","len=1","word1=fatty","pos1=adj","stemmed1=n","priorpolarity=negative"
"2816","type=strongsubj","len=1","word1=fatuity","pos1=noun","stemmed1=n","priorpolarity=negative"
"2817","type=strongsubj","len=1","word1=fatuous","pos1=adj","stemmed1=n","priorpolarity=negative"
"2818","type=strongsubj","len=1","word1=fatuously","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2819","type=strongsubj","len=1","word1=fault","pos1=verb","stemmed1=y","priorpolarity=negative"
"2820","type=weaksubj","len=1","word1=faulty","pos1=adj","stemmed1=n","priorpolarity=negative"
"2821","type=weaksubj","len=1","word1=favor","pos1=adj","stemmed1=n","priorpolarity=positive"
"2822","type=weaksubj","len=1","word1=favor","pos1=noun","stemmed1=n","priorpolarity=positive"
"2823","type=strongsubj","len=1","word1=favor","pos1=verb","stemmed1=y","priorpolarity=positive"
"2824","type=strongsubj","len=1","word1=favorable","pos1=adj","stemmed1=n","priorpolarity=positive"
"2825","type=strongsubj","len=1","word1=favorable","pos1=anypos","stemmed1=y","priorpolarity=positive"
"2826","type=weaksubj","len=1","word1=favored","pos1=adj","stemmed1=n","priorpolarity=positive"
"2827","type=strongsubj","len=1","word1=favorite","pos1=adj","stemmed1=n","priorpolarity=positive"
"2828","type=strongsubj","len=1","word1=fawn","pos1=verb","stemmed1=y","priorpolarity=both"
"2829","type=strongsubj","len=1","word1=fawningly","pos1=adverb","stemmed1=n","priorpolarity=negative"
"2830","type=strongsubj","len=1","word1=favour","pos1=noun","stemmed1=n","priorpolarity=positive"
"2831","type=weaksubj","len=1","word1=faze","pos1=verb","stemmed1=y","priorpolarity=negative"
"2832","type=strongsubj","len=1","word1=fear","pos1=noun","stemmed1=n","priorpolarity=negative"
"2833","type=strongsubj","len=1","word1=fear","pos1=verb","stemmed1=y","priorpolarity=negative"
"2834","type=strongsubj","len=1","word1=fearful","pos1=adj","stemmed1=n","priorpolarity=negative"
"2835","type=strongsubj","len=1","word1=fearfully","pos1=anypos","stemmed1=n","priorpolarity=negative"
"2836","type=strongsubj","len=1","word1=fearless","pos1=adj","stemmed1=n","priorpolarity=positive"
"2837","type=strongsubj","len=1","word1=fearlessly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2838","type=strongsubj","len=1","word1=fears","pos1=adj","stemmed1=n","priorpolarity=negative"
"2839","type=strongsubj","len=1","word1=fears","pos1=noun","stemmed1=n","priorpolarity=negative"
"2840","type=strongsubj","len=1","word1=fearsome","pos1=adj","stemmed1=n","priorpolarity=negative"
"2841","type=weaksubj","len=1","word1=feasible","pos1=adj","stemmed1=n","priorpolarity=positive"
"2842","type=weaksubj","len=1","word1=feasibly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"2843","type=weaksubj","len=1","word1=feat","pos1=noun","stemmed1=n","priorpolarity=positive"
"2844","type=strongsubj","len=1","word1=featly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"2845","type=strongsubj","len=1","word1=feckless","pos1=adj","stemmed1=n","priorpolarity=negative"
"2846","type=weaksubj","len=1","word1=feeble","pos1=adj","stemmed1=n","priorpolarity=negative"
"2847","type=weaksubj","len=1","word1=feeblely","pos1=adj","stemmed1=n","priorpolarity=negative"
